,total_pen,total_incidents,Camera_Type,Location_Desc,lat,lon
1031,4932412.0,1644,FIXED ONLY SPEED CAMERA,FEDERAL HIGHWAY BETWEEN ANTILL STREET AND MAJURA ROAD,-35.22413,149.16758
1027,14075475.0,2532,FIXED ONLY SPEED CAMERA,BARTON HIGHWAY BETWEEN GUNGAHLIN DRIVE AND ELLENBOROUGH STREET,-35.2281,149.12348
1034,2617763.0,1288,FIXED ONLY SPEED CAMERA,"TUGGERANONG PARKWAY NEAR COTTER ROAD OVERPASS, NORTHBOUND",-35.3193,149.06346
1028,13644968.0,2609,FIXED ONLY SPEED CAMERA,MONARO HIGHWAY BETWEEN LANYON DRIVE AND SHEPPARD STREET,-35.39088,149.162221
1026,17941206.0,3182,FIXED ONLY SPEED CAMERA,BARTON HIGHWAY BETWEEN CURRAN DRIVE AND GOLD CREEK ROAD,-35.19213,149.08327
3014,2617817.0,883,MOBILE SPEED CAMERA,JERRABOMBERRA AVE NARRABUNDAH COLLEGE,-35.336347,149.148487
102,2579662.0,1241,MOBILE SPEED CAMERA,FAIRBAIRN AVENUE,-35.28573,149.16329
5,759925.0,553,MOBILE SPEED CAMERA,BOWEN DRIVE,-35.30842,149.1391
129,1928733.0,895,MOBILE SPEED CAMERA,MONARO HIGHWAY,-35.31405,149.16923
55,3696944.0,1135,MOBILE SPEED CAMERA,ATHLLON DRIVE,-35.36784,149.09241
4004,145136.0,127,MOBILE SPEED CAMERA,FLEMINGTON ROAD – ROAD WORKS,-35.204635,149.14805
3011,264496.0,276,MOBILE SPEED CAMERA,MELBOURNE AVENUE - CANBERRA GIRLS GRAMMAR SCHOOL,-35.316771,149.116587
1022,11276147.0,2623,RED LIGHT AND SPEED CAMERA,HINDMARSH DRIVE/BALL STREET,-35.34887,149.085881
1007,4712386.0,1751,RED LIGHT AND SPEED CAMERA,GINNINDERRA DRIVE/AIKMAN DRIVE,-35.23108,149.08095
1021,1031198.0,1062,RED LIGHT AND SPEED CAMERA,HINDMARSH DRIVE/YAMBA DRIVE,-35.35072,149.101271
1024,7094983.0,2398,RED LIGHT AND SPEED CAMERA,CANBERRA AVENUE/CAPTAIN COOK CRESCENT/MANUKA CIRCLE,-35.31963,149.135771
1032,2810480.0,1346,FIXED ONLY SPEED CAMERA,MONARO HIGHWAY NEAR HINDMARSH DRIVE OVERPASS,-35.34167,149.162871
1029,13708065.0,2418,FIXED ONLY SPEED CAMERA,MONARO HIGHWAY BETWEEN MUGGA LANE AND ISABELLA DRIVE,-35.40282,149.147581
22,1892333.0,1045,MOBILE SPEED CAMERA,NORTHBOURNE AVENUE,-35.25562,149.13285
4,625197.0,568,MOBILE SPEED CAMERA,BELCONNEN WAY,-35.24897,149.0715
260,452503.0,275,MOBILE SPEED CAMERA,OVERALL AVE,-35.171832,149.092249
1004,6719250.0,1879,RED LIGHT AND SPEED CAMERA,DRAKEFORD DRIVE/BODDINGTON CRESCENT/MARCONI CRESCENT,-35.37887,149.056401
1006,11919707.0,2624,RED LIGHT AND SPEED CAMERA,NORTHBOURNE AVENUE/ANTILL STREET/MOUAT STREET,-35.24783,149.13412
1035,2235014.0,1169,FIXED ONLY SPEED CAMERA,"TUGGERANONG PARKWAY NEAR COTTER ROAD OVERPASS, SOUTHBOUND",-35.31917,149.06372
1033,3325839.0,1480,FIXED ONLY SPEED CAMERA,TUGGERANONG PARKWAY NEAR HINDMARSH DRIVE UNDERPASS,-35.34778,149.069481
1030,7388812.0,1924,FIXED ONLY SPEED CAMERA,FEDERAL HIGHWAY BETWEEN ZELLING STREET AND ANTILL STREET,-35.22567,149.16112
13,576014.0,465,MOBILE SPEED CAMERA,HINDMARSH DRIVE,-35.34457,149.14973
123,158896.0,205,MOBILE SPEED CAMERA,DRAKE BROCKMAN DRIVE,-35.23571,149.02298
3048,492865.0,305,MOBILE SPEED CAMERA,BLAMEY CRESCENT - CANBERRA GRAMMAR SCHOOL NORTH SIDE,-35.285675,149.146929
88,4525.0,14,MOBILE SPEED CAMERA,COTTER ROAD,-35.33647,149.003831
